date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2020-05-04,781496.1356570001,-1011124.4283367299,1108084.0,96959.5716632696,10294439.43705327,10229725.477316272
2020-05-05,1694038.3149279996,-1039028.2632307297,1150204.0,111175.7367692697,8622784.845383272,10273432.247974271
2020-05-06,1307862.599975,-1056572.7586927295,1187292.0,130719.24130726994,10231270.47275827,10299817.537708271
2020-05-07,2442878.256928,-1071683.7019687295,1223582.0,151898.29803127,8226240.85250227,10341994.86303027
2020-05-08,3245156.6765320003,-1093154.1320837294,1265614.0,172459.8679162701,4872445.2384982705,10396663.397826271
2020-05-11,32138.042750000117,-1102957.6308377294,1308580.0,205622.36916227016,5276408.46224827,10436058.764498271
2020-05-12,3947212.2462570006,-1105513.2068167294,1347355.0,241841.79318327023,10274502.251968272,10364805.135807272
2020-05-13,3118035.8624000004,-1124962.5588167293,1393835.0,268872.44118327025,14099760.744768271,10334498.05068827
2020-05-14,2468781.8425370003,-1142675.7224787292,1437992.0,295316.2775212703,12093228.56824927,10366064.33545727
2020-05-15,551706.4640240002,-1162655.4954087292,1476134.0,313478.50459127047,11473810.213901272,10414802.382041272
2020-05-18,5342270.612,-1183666.066457729,1500119.0,316452.9335422705,6044399.37790127,10345161.236401271
2020-05-19,2249921.11247,-1208967.2489377288,1530479.0,321511.7510622708,8336271.907851271,10346349.459312271
2020-05-20,3181856.377337,-1234460.3228027287,1557779.0,323318.6771972708,5302760.8677242715,10351383.92496027
2020-05-21,1204906.6232159997,-1259327.2020447287,1592131.0,332803.7979552709,6590811.46054027,10367209.172300272
2020-05-22,567767.2518239996,-1263459.3193197288,1617091.0,353631.6806802708,6794987.4489402715,10400941.562420271
2020-05-26,1614584.15538,-1263278.4727577288,1644412.0,381133.52724227076,6378091.853732271,10420546.38280027
2020-05-27,1205308.6442720003,-1247633.4157577287,1638852.0,391218.58424227085,5844356.689780272,10403897.463395271
2020-05-28,463776.30538600043,-1244795.9473217288,1640866.0,396070.05267827085,6870549.276114271,10393996.661915272
2020-05-29,463399.6095999998,-1247537.2929217287,1643841.0,396303.70707827096,7048248.589874271,10405686.296370272
2020-06-01,260160.83265000032,-1247762.3666177285,1641371.0,393608.63338227104,7391104.493084271,10415558.126414271
2020-06-02,615354.7595040002,-1223056.5191317282,1624110.0,401053.4808682712,7684502.120668272,10429729.597932272
2020-06-03,627050.6496459999,-1167646.5102607282,1579912.0,412265.48973927123,8100890.207010271,10426340.954712272
2020-06-04,12434.597503999907,-1167646.5102607282,1579912.0,412265.48973927123,8088455.609506272,10433120.41171427
2020-06-05,898078.0936960003,-1167646.5102607282,1579912.0,412265.48973927123,7190377.515810272,10419748.82750827
2020-06-08,105373.30816000007,-1120013.942970728,1536477.0,416463.0570292715,7939548.271970272,10415116.018850273
2020-06-09,318243.3867260001,-1066626.4479307276,1487989.0,421362.55206927186,9178560.949476272,10409745.675131273
2020-06-10,69287.75700000003,-1066626.4479307276,1487989.0,421362.55206927186,9247848.706476271,10412135.19497627
2020-06-11,1405476.62125,-1066626.4479307276,1487989.0,421362.55206927186,10653325.327726271,10356444.569291271
2020-06-12,679532.4644989999,-1077106.3741147274,1489249.0,412142.62588527205,10567673.481444273,10375062.568691272
2020-06-15,384954.8650199999,-1077106.3741147274,1489249.0,412142.62588527205,10289962.616424272,10385102.447879272
2020-06-16,901087.2713600001,-1077106.3741147274,1489249.0,412142.62588527205,9462937.345064273,10372609.726120273
2020-06-17,199314.73549199998,-1077106.3741147274,1489249.0,412142.62588527205,9662252.080556272,10384644.245690271
2020-06-18,83105.52020399984,-1077106.3741147274,1489249.0,412142.62588527205,9579146.560352273,10403712.762278274
2020-06-19,287408.1631039999,-1097385.6734097272,1496885.0,399499.3265902722,10085672.333440272,10403326.772240272
2020-06-22,433856.8450080001,-1118403.646361727,1506269.0,387865.35363827227,9883005.183472272,10425591.367590273
2020-06-23,375607.71586999984,-1118403.646361727,1506269.0,387865.35363827227,9625537.467602273,10430247.099717274
2020-06-24,1831080.1892199998,-1118403.646361727,1506269.0,387865.35363827227,11456617.656822272,10408081.856129272
2020-06-25,959281.2793750002,-1118403.646361727,1506269.0,387865.35363827227,10623272.377447272,10435234.92222727
2020-06-26,2340568.3217450003,-1118403.646361727,1506269.0,387865.35363827227,12963840.699192272,10408631.886187272
2020-06-29,1549425.0670260002,-1118403.646361727,1506269.0,387865.35363827227,11536911.632166272,10458778.025146272
2020-06-30,1825164.73688,-1118403.646361727,1506269.0,387865.35363827227,9830886.895286273,10465647.850846274
2020-07-01,1277364.003028,-1118403.646361727,1506269.0,387865.35363827227,8655388.892258272,10497898.776206272
2020-07-02,601363.3851639997,-1133259.3631957269,1565665.0,432405.6368042724,8717678.802304272,10521399.414785272
